,单身总,单身男,单身女
总计：,1426645,750043,676602
15-19岁,351243,185409,165834
20-24岁,413568,227770,185798
25-29岁,135691,85275,50416
30-34岁,50057,34773,15284
35-39岁,43388,31980,11408
40-44岁,39333,27332,12001
45-49岁,32599,19122,13477
50-54岁,29979,16686,13317
55-59岁：,42095,29602,21493
60-64岁：,47508,20154,27354
65岁及以上;,241182,80962,160220
