,单身总,单身男,单身女
总  计,2916365,1540558,1375807
15-19岁,906218,471929,434289
20-24岁,963049,528450,434599
25-29岁,413085,259789,153296
30-34岁,121679,78437,43242
35-39岁,65667,39818,25849
40-44岁,46597,26127,20470
45-49岁,37505,19112,18393
50-54岁,32702,15183,17519
55-59岁,38450,15558,22892
60-64岁,39887,15014,24873
65岁及以上,251526,71141,180385
