,单身总,单身男,单身女
总计：,622321,319693,302628
15-19岁,152842,79064,73778
20-24岁,168639,91082,77557
25-29岁,60201,35442,24759
30-34岁,31156,19494,11662
35-39岁,24508,15557,8951
40-44岁,24978,14965,10013
45-49岁,22083,11956,10127
50-54岁,18929,8988,9941
55-59岁：,20162,8610,11552
60-64岁：,19339,7294,12045
65岁及以上;,79484,27241,52243
