,单身总,单身男,单身女
总计：,1546877,789089,757788
15-19岁,503913,259182,244731
20-24岁,493259,262643,230616
25-29岁,104424,59505,44919
30-34岁,31580,19716,11864
35-39岁,24381,16624,7757
40-44岁,27789,19141,8648
45-49岁,26372,16254,10118
50-54岁,29583,17221,12362
55-59岁：,41500,21842,19658
60-64岁：,46152,20696,25456
65岁及以上;,217924,76265,141659
