,单身总,单身男,单身女
总计：,932923,484394,449129
15-19岁,307732,166316,143416
20-24岁,268684,149110,119574
25-29岁,72055,46166,25889
30-34岁,32564,23583,8981
35-39岁,22869,16472,6397
40-44岁,18054,11395,6659
45-49岁,15664,8270,7394
50-54岁,16750,7793,8957
55-59岁：,21511,8671,12840
60-64岁：,25815,9217,16598
65岁及以上;,129225,37401,91824
