,单身总,单身男,单身女
总计：,493586,256681,236905
15-19岁,160363,84842,75521
20-24岁,132465,76250,56215
25-29岁,53563,33387,20176
30-34岁,23097,14530,8567
35-39岁,18508,10703,7805
40-44岁,15410,7701,7709
45-49岁,11588,4978,6610
50-54岁,9808,3603,6205
55-59岁：,10648,3285,7363
60-64岁：,13401,3709,9692
65岁及以上;,44735,13693,31042
