,单身总,单身男,单身女
总计：,646155,338454,307701
15-19岁,245151,127329,117822
20-24岁,164979,90520,74459
25-29岁,45117,28634,16483
30-34岁,16609,12039,4570
35-39岁,16245,12356,3889
40-44岁,15939,11058,4881
45-49岁,12937,7545,5392
50-54岁,10343,5195,5148
55-59岁：,15836,6993,8843
60-64岁：,19823,7859,11964
65岁及以上;,83176,28926,54250
