,单身总,单身男,单身女
总  计,1931918,1010724,921194
15-19岁,592183,305934,286249
20-24岁,434218,243036,191182
25-29岁,128795,81122,47673
30-34岁,60094,41410,18684
35-39岁,69490,48905,20585
40-44岁,58074,39060,19014
45-49岁,44098,26612,17486
50-54岁,40710,24506,16204
55-59岁,67593,35804,31789
60-64岁,75105,35320,39785
65岁及以上,361558,129015,232543
