,单身总,单身男,单身女
总  计,600425,309317,291108
15-19岁,183811,94150,89661
20-24岁,123959,68352,55607
25-29岁,40308,25365,14943
30-34岁,14514,9743,4771
35-39岁,20196,13672,6524
40-44岁,18004,11540,6464
45-49岁,15766,9251,6515
50-54岁,14628,8824,5804
55-59岁,23818,13099,10719
60-64岁,24838,12166,12672
65岁及以上,120583,43155,77428
