,单身总,单身男,单身女
总  计,293309,149554,143755
15-19岁,70048,36891,33157
20-24岁,106012,58202,47810
25-29岁,37054,21648,15406
30-34岁,9624,5705,3919
35-39岁,5991,3290,2701
40-44岁,5186,2707,2479
45-49岁,5827,2850,2977
50-54岁,5758,2459,3299
55-59岁,6081,2323,3758
60-64岁,5746,1958,3788
65岁及以上,35982,11521,24461
