,单身总,单身男,单身女
总  计,1712985,853464,859521
15-19岁,519392,272463,246929
20-24岁,529337,283970,245367
25-29岁,114860,69486,45374
30-34岁,34601,21948,12653
35-39岁,27563,17427,10136
40-44岁,33095,20438,12657
45-49岁,30107,17084,13023
50-54岁,31289,17105,14184
55-59岁,44047,21514,22533
60-64岁,49259,20946,28313
65岁及以上,299435,91083,208352
