,单身总,单身男,单身女
总计：,122663,62864,59799
15-19岁,49634,25779,23855
20-24岁,31686,18518,13968
25-29岁,9734,6336,3398
30-34岁,3585,2313,1272
35-39岁,2801,1626,1175
40-44岁,2650,1332,1318
45-49岁,2277,991,1286
50-54岁,1683,631,1052
55-59岁：,2324,778,1546
60-64岁：,2610,763,1847
65岁及以上;,12679,3597,9082
