,单身总,单身男,单身女
总计：,220662,120312,100350
15-19岁,74075,39940,34135
20-24岁,57615,32709,24906
25-29岁,27836,18107,9729
30-34岁,11048,7845,3203
35-39岁,6629,4993,1836
40-44岁,4790,3223,567
45-49岁,3909,2216,1693
50-54岁,3026,1459,1572
55-59岁：,3511,1515,1996
60-64岁：,3894,1551,2343
65岁及以上;,24329,6954,17375
