,单身总,单身男,单身女
总  计,568707,286694,282013
15-19岁,104661,53627,51034
20-24岁,194718,104496,90222
25-29岁,89678,53254,36424
30-34岁,26678,15912,10766
35-39岁,14007,7990,6017
40-44岁,11390,6390,5000
45-49岁,13354,7719,5635
50-54岁,15807,8692,7115
55-59岁,14325,6464,7861
60-64岁,10882,4047,6835
65岁及以上,73207,18103,55104
